titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Inception;21-juil-10;Science fiction, Thriller;2h 28min;Christopher Nolan;Leonardo DiCaprio, Marion Cotillard, Elliot Page;britannique;Dom Cobb est un voleur expérimenté – le meilleur qui soit dans l’art périlleux de l’extraction : sa spécialité consiste à s’approprier les secrets les plus précieux d’un individu, enfouis au plus profond de son subconscient, pendant qu’il rêve et que son esprit est particulièrement vulnérable. Très recherché pour ses talents dans l’univers trouble de l’espionnage industriel, Cobb est aussi devenu un fugitif traqué dans le monde entier qui a perdu tout ce qui lui est cher. Mais une ultime mission pourrait lui permettre de retrouver sa vie d’avant – à condition qu’il puisse accomplir l’impossible : l’inception. Au lieu de subtiliser un rêve, Cobb et son équipe doivent faire l’inverse : implanter une idée dans l’esprit d’un individu. S’ils y parviennent, il pourrait s’agir du crime parfait. Et pourtant, aussi méthodiques et doués soient-ils, rien n’aurait pu préparer Cobb et ses partenaires à un ennemi redoutable qui semble avoir systématiquement un coup d’avance sur eux. Un ennemi dont seul Cobb aurait pu soupçonner l’existence.;Warner Bros. France;11 prix et 33 nominations;08/12/2010;4 925 927 entrées;160 000 000 $;126718;4,1;4,5;24 critiques;97369 notes dont 8533 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=143692.html
Tu ne tueras point;09-nov-16;Drame, Biopic;2h 20min;Mel Gibson;Andrew Garfield, Vince Vaughn, Teresa Palmer;américain;Quand la Seconde Guerre mondiale a éclaté, Desmond, un jeune américain, s’est retrouvé confronté à un dilemme : comme n’importe lequel de ses compatriotes, il voulait servir son pays, mais la violence était incompatible avec ses croyances et ses principes moraux. Il s’opposait ne serait-ce qu’à tenir une arme et refusait d’autant plus de tuer.Il s’engagea tout de même dans l’infanterie comme médecin. Son refus d’infléchir ses convictions lui valut d’être rudement mené par ses camarades et sa hiérarchie, mais c’est armé de sa seule foi qu’il est entré dans l’enfer de la guerre pour en devenir l’un des plus grands héros. Lors de la bataille d’Okinawa sur l’imprenable falaise de Maeda, il a réussi à sauver des dizaines de vies seul sous le feu de l’ennemi, ramenant en sureté, du champ de bataille, un à un les soldats blessés.;Metropolitan FilmExport;4 prix et 13 nominations;09/03/2017;542 747 entrées;40 000 000 $;145442;3;4,4;24 critiques;18474 notes dont 1060 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=208104.html
La Vie est belle;21-oct-98;Drame, Comédie;1h 57min;Roberto Benigni;Roberto Benigni, Horst Buchholz, Marisa Paredes;italien;En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les lois raciales sont entrées en vigueur et Guido est juif. Il est alors déporté avec son fils. Par amour pour eux, Dora monte de son plein gré dans le train qui les emmène aux camps de la mort où Guido veut tout faire pour éviter l'horreur à son fils...;Bac Films;7 prix et 10 nominations;16/03/2000;4 673 727 entrées;-;-;3,7;4,4;10 critiques;56857 notes dont 1621 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=64439.html
Le Dictateur;04-avr-45;Comédie;2h 05min;Charles Chaplin;Charles Chaplin, Jack Oakie, Paulette Goddard;américain;Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l’extermination du peuple juif. Au cours d’une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d’Hynkel...;Théâtre du Temple;3 nominations;06/07/2005;8 287 978 entrées;2 000 000 $;2563;5;4,4;15 critiques;25153 notes dont 766 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2253.html
American History X;03-mars-99;Drame;1h 59min;Tony Kaye;Edward Norton, Edward Furlong, Elliott Gould;américain;A travers l'histoire d'une famille américaine, ce film tente d'expliquer l'origine du racisme et de l'extrémisme aux États-Unis. Il raconte l'histoire de Derek qui, voulant venger la mort de son père, abattu par un dealer noir, a épousé les thèses racistes d'un groupuscule de militants d'extrême droite et s'est mis au service de son leader, brutal théoricien prônant la suprématie de la race blanche. Ces théories le mèneront à commettre un double meurtre entrainant son jeune frère, Danny, dans la spirale de la haine.;Metropolitan FilmExport;-;06/04/1999;619 986 entrées;10 000 000 $;96106;2,8;4,4;18 critiques;63344 notes dont 2264 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=12475.html
Intouchables;02-nov-11;Drame;1h 52min;Eric Toledano, Olivier Nakache;François Cluzet, Omar Sy, Anne Le Ny;français;A la suite d’un accident de parapente, Philippe, riche aristocrate, engage comme aide à domicile Driss, un jeune de banlieue tout juste sorti de prison. Bref la personne la moins adaptée pour le job. Ensemble ils vont faire cohabiter Vivaldi et Earth Wind and Fire, le verbe et la vanne, les costumes et les bas de survêtement... Deux univers vont se télescoper, s’apprivoiser, pour donner naissance à une amitié aussi dingue, drôle et forte qu’inattendue, une relation unique qui fera des étincelles et qui les rendra... Intouchables.;Gaumont Distribution;16 prix et 32 nominations;28/03/2012;19 385 300 entrées;9 500 000 €;125925;3,7;4,4;28 critiques;104456 notes dont 8063 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=182745.html
Bohemian Rhapsody;31-oct-18;Biopic, Drame;2h 15min;Bryan Singer;Rami Malek, Gwilym Lee, Lucy Boynton;américain;Bohemian Rhapsody retrace le destin extraordinaire du groupe Queen et de leur chanteur emblématique Freddie Mercury, qui a défié les stéréotypes, brisé les conventions et révolutionné la musique. Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous ceux qui aiment la musique.;Twentieth Century Fox France;9 prix et 8 nominations;27/02/2019;4 371 326 entrées;-;149407;3;4,4;26 critiques;31683 notes dont 2260 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=185719.html
Whiplash;24-déc-14;Drame, Musical;1h 47min;Damien Chazelle;Miles Teller, J.K. Simmons, Paul Reiser;américain;Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement. Il a pour objectif d’intégrer le fleuron des orchestres dirigé par Terence Fletcher, professeur féroce et intraitable. Lorsque celui-ci le repère enfin, Andrew se lance, sous sa direction, dans la quête de l’excellence...;Ad Vitam;14 prix et 16 nominations;06/05/2015;639 732 entrées;3 300 000 $;141166;4,1;4,4;30 critiques;24193 notes dont 1314 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=225953.html
Retour vers le futur;30-oct-85;Science fiction, Aventure;1h 56min;Robert Zemeckis;Michael J. Fox, Christopher Lloyd, Lea Thompson;américain;1985. Le jeune Marty McFly mène une existence anonyme auprès de sa petite amie Jennifer, seulement troublée par sa famille en crise et un proviseur qui serait ravi de l'expulser du lycée. Ami de l'excentrique professeur Emmett Brown, il l'accompagne un soir tester sa nouvelle expérience : le voyage dans le tempsune DeLorean modifiée. La démonstration tourne mal : des trafiquants d'armes débarquent et assassinent le scientifique. Marty se réfugie dans la voiture et se retrouve transporté en 1955. Là, il empêche malgré lui la rencontre de ses parents, et doit tout faire pour les remettre ensemble, sous peine de ne pouvoir exister...;CIC;1 prix et 13 nominations;21/08/2002;3 457 648 entrées;19 000 000 $;60261;3,6;4,4;5 critiques;78640 notes dont 2007 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=448.html
Joker;09-oct-19;Drame;2h 02min;Todd Phillips;Joaquin Phoenix, Robert De Niro, Zazie Beetz;canadien;Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société.;Warner Bros. France;7 prix et 27 nominations;12/02/2020;5 606 729 entrées;$55,000,000;151541;4,1;4,4;44 critiques;35217 notes dont 3185 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=258374.html
Les Enfants Loups, Ame & Yuki;29-août-12;Animation, Fantastique;1h 57min;Mamoru Hosoda;Kumiko Aso, Megumi Hayashibara, Takuma Hiraoka;japonais;Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants à l'abri des regards. Ils emménagent dans un village proche d'une forêt luxuriante…;Eurozoom;3 nominations;-;169 383 entrées;-;134185;4,1;4,4;22 critiques;6211 notes dont 436 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=206736.html
Le Tombeau des lucioles;19-juin-96;Animation, Drame, Guerre;1h 30min;Isao Takahata;J. Robert Spencer, Ayano Shiraishi, Veronica Taylor;japonais;Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de partir avec sa petite soeur. Ils se réfugient dans un bunker désaffecté en pleine campagne et vivent des jours heureux illuminés par la présence de milliers de lucioles. Mais bientôt la nourriture commence cruellement à manquer.;Les Films du Paradoxe;2 nominations;20/06/2001;-;-;90255;4;4,4;5 critiques;22626 notes dont 1146 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=10251.html
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles);19-oct-77;Science fiction, Aventure;2h 01min;George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher;américain;Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle. Capturée par les troupes de choc de l'Empereur menées par le sombre et impitoyable Dark Vador, la princesse Leia Organa dissimule les plans de l'Etoile Noire, une station spatiale invulnérable, à son droïde R2-D2 avec pour mission de les remettre au Jedi Obi-Wan Kenobi. Accompagné de son fidèle compagnon, le droïde de protocole C-3PO, R2-D2 s'échoue sur la planète Tatooine et termine sa quête chez le jeune Luke Skywalker. Rêvant de devenir pilote mais confiné aux travaux de la ferme, ce dernier se lance à la recherche de ce mystérieux Obi-Wan Kenobi, devenu ermite au coeur des montagnes désertiques de Tatooine...;-;8 prix et 12 nominations;24/04/2020;6 459 530 entrées;11 500 000 $;47811;4,8;4,4;6 critiques;66967 notes dont 1807 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=25801.html
Le Silence des agneaux;10-avr-91;Thriller, Drame;1h 58min;Jonathan Demme;Anthony Hopkins, Jodie Foster, Scott Glenn;américain;Un psychopathe connu sous le nom de Buffalo Bill sème la terreur dans le Middle West en kidnappant et en assassinant de jeunes femmes. Clarice Starling, une jeune agent du FBI, est chargée d'interroger l'ex-psychiatre Hannibal Lecter. Psychopathe redoutablement intelligent et porté sur le cannibalisme, Lecter est capable de lui fournir des informations concernant Buffalo Bill ainsi que son portrait psychologique. Mais il n'accepte de l'aider qu'en échange d'informations sur la vie privée de la jeune femme. Entre eux s'établit un lien de fascination et de répulsion.;Ciné Sorbonne;9 prix et 18 nominations;14/07/1998;3 119 085 entrées;$19.000.000 dlls;75925;4,8;4,4;5 critiques;61934 notes dont 1858 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=6641.html
Star Wars : Episode VI - Le Retour du Jedi;19-oct-83;Science fiction, Aventure;2h 13min;Richard Marquand;Mark Hamill, Harrison Ford, Carrie Fisher;américain;L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier... Arrêté après la trahison de Lando Calrissian, Han Solo est remis à l'ignoble contrebandier Jabba Le Hutt par le chasseur de primes Boba Fett. Après l'échec d'une première tentative d'évasion menée par la princesse Leia, également arrêtée par Jabba, Luke Skywalker et Lando parviennent à libérer leurs amis.Han, Leia, Chewbacca, C-3PO et Luke, devenu un Jedi, s'envolent dès lors pour une mission d'extrême importance sur la lune forestière d'Endor, afin de détruire le générateur du bouclier de l'Etoile de la Mort et permettre une attaque des pilotes de l'Alliance rebelle. Conscient d'être un danger pour ses compagnons, Luke préfère se rendre aux mains de Dark Vador, son père et ancien Jedi passé du côté obscur de la Force.;-;2 prix et 7 nominations;24/04/2020;4 243 984 entrées;32 500 000 $;57801;3;4,4;5 critiques;65250 notes dont 1629 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=25803.html
Les Temps modernes;13-mars-36;Romance, Comédie dramatique;1h 27min;Charles Chaplin;Charles Chaplin, Paulette Goddard, Henry Bergman;américain;Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…;Théâtre du Temple;3 nominations;14/12/2017;-;1 500 000 $;16 028;4,6;4,4;8 critiques;27084 notes dont 812 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=1832.html
Million Dollar Baby;23-mars-05;Drame;2h 12min;Clint Eastwood;Clint Eastwood, Morgan Freeman, Hilary Swank;américain;Rejeté depuis longtemps par sa fille, l'entraîneur Frankie Dunn s'est replié sur lui-même et vit dans un désert affectif, en évitant toute relation qui pourrait accroître sa douleur et sa culpabilité.Le jour où Maggie Fitzgerald, 31 ans, pousse la porte de son gymnase à la recherche d'un, elle n'amène pas seulement avec elle sa jeunesse et sa force, mais aussi unehistoire jalonnée d'épreuves et une exigence, vitale et urgente : monter sur le, entraînée par Frankie, et enfin concrétiser le rêve d'une vie.Après avoir repoussé plusieurs fois sa demande, Frankie se laisse convaincre par l'inflexible détermination de la jeune femme. Une relation mouvementée, tour à tour stimulante et exaspérante, se noue entre eux, au fil de laquelle Maggie et l'entraîneur se découvrent une communauté d'esprit et une complicité inattendues...;Mars Distribution;7 prix et 7 nominations;10/10/2005;3 174 274 entrées;30 000 000 $;112404;4,9;4,4;25 critiques;68599 notes dont 3009 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=56714.html
